text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
Sharing Checklist for Real Estate Professionals,"[0, 0, 100, 20]",2,13.5,6,0,0.021,0.1666666666666666,0.8333333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999950083739348,Title/Heading,7,,H1
Real Estate Sharing Checklist,"[0, 0, 100, 20]",2,13.5,4,0,0.013,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999897146624668,Title/Heading,0,,H1
Have you launched Acrobat or Acrobat Reader and opened the property listing or contract you need to share?,"[0, 0, 100, 20]",1,11.76,18,0,0.0445,0.2222222222222222,0.2222222222222222,0,0,-20.0,0.0,1,0,3.4800000000000004,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,,1,0.5566657516583348,Title/Heading,8,,H2
Choose Your Sharing Method,"[0, 0, 100, 20]",1,10.02,4,0,0.0115,0.5,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9726277312450492,Title/Heading,2,,H3
"Are you sharing via email, link, or a third-party app like Microsoft Teams or WhatsApp?","[0, 0, 100, 20]",1,11.76,15,0,0.0365,0.0666666666666666,0.25,0,0,-20.0,0.0,1,0,3.4800000000000004,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9057423055753236,Title/Heading,3,,H2
Set Permissions,"[0, 0, 100, 20]",1,10.02,2,0,0.007,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.822838365644637,Title/Heading,4,,H3
Customize Your Message,"[0, 0, 100, 20]",1,10.02,3,0,0.01,0.3333333333333333,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.576398764332068,Title/Heading,6,,H3
Send the Invitation,"[0, 0, 100, 20]",1,10.02,3,0,0.0085,0.3333333333333333,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9206107438731628,Title/Heading,6,,H3
Professional Tip: Highlight Key Details,"[0, 0, 100, 20]",3,13.5,5,0,0.0175,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9993259590728402,Title/Heading,0,,H1
Conclusion,"[0, 0, 100, 20]",3,13.5,1,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999780350156032,Title/Heading,0,,H1
